"County","City","State","Postal Code","Model Year","Make","Model","Electric Vehicle Type","Clean Alternative Fuel Vehicle (CAFV) Eligibility","Electric Range","Base MSRP","Legislative District","DOL Vehicle ID","Vehicle Location","Electric Utility","2020 Census Tract"
"Pierce","Edgewood","WA","98371","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","31","224663449","POINT (-122.29521 47.19045)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53053940009"
"King","Seattle","WA","98115","2025","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","46","273905495","POINT (-122.31676 47.68156)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033002700"
"King","North Bend","WA","98045","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","5","271283085","POINT (-121.7831 47.49348)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032704"
"King","North Bend","WA","98045","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","5","249943067","POINT (-121.7831 47.49348)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032704"
"King","Seattle","WA","98144","2025","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","37","284441489","POINT (-122.30866 47.57874)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033008900"
"Pierce","Puyallup","WA","98374","2025","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","25","274253507","POINT (-122.27575 47.13959)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53053073122"
"Pierce","Gig Harbor","WA","98329","2025","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","26","273095924","POINT (-122.6658 47.38336)","BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY","53053072602"
"Snohomish","Monroe","WA","98272","2023","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","39","249611743","POINT (-121.98087 47.8526)","PUGET SOUND ENERGY INC","53061052203"
"Clark","Ridgefield","WA","98642","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","18","284389262","POINT (-122.74595 45.81539)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","53011040303"
"Pierce","Puyallup","WA","98374","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","25","259483269","POINT (-122.27575 47.13959)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53053073110"
"Pierce","Tacoma","WA","98422","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","27","272441515","POINT (-122.39471 47.28159)","BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY","53053940005"
"Spokane","Spokane Valley","WA","99206","2024","TESLA","CYBERTRUCK","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","4","282075699","POINT (-117.24522 47.66118)","BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15","53063012500"
"Pierce","Puyallup","WA","98372","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","31","267368244","POINT (-122.28596 47.19183)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53053073501"
"Thurston","Olympia","WA","98513","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","20","274882114","POINT (-122.81754 46.98876)","PUGET SOUND ENERGY INC","53067012530"
"King","Seattle","WA","98109","2026","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","36","283998291","POINT (-122.35022 47.63824)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033006703"
"Thurston","Olympia","WA","98502","2024","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","22","273439407","POINT (-122.92333 47.03779)","PUGET SOUND ENERGY INC","53067012002"
"King","Seattle","WA","98144","2022","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","37","204887161","POINT (-122.30866 47.57874)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033009400"
"Pierce","Graham","WA","98338","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","2","233941998","POINT (-122.29477 47.05703)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53053073129"
"King","Newcastle","WA","98059","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","41","244416763","POINT (-122.16335 47.53505)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033025005"
"King","North Bend","WA","98045","2022","TESLA","MODEL X","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","5","207654317","POINT (-121.7831 47.49348)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032705"
"King","Kirkland","WA","98033","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","48","251407985","POINT (-122.2066 47.67887)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022604"
"Spokane","Spokane","WA","99224","2026","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","6","282290438","POINT (-117.46996 47.59431)","BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY","53063010403"
"Stevens","Nine Mile Falls","WA","99026","2023","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","7","228691557","POINT (-117.54392 47.77676)","NO KNOWN ELECTRIC UTILITY SERVICE","53065951402"
